experiment_name,dataset_id,split_id,graph_seed,training_seed,scenario_id,severity,model_id,protocol,roc_auc,average_precision,f1_macro,threshold,duration_sec,n_nodes,n_edges,mean_in_degree,median_in_degree,mean_out_degree,median_out_degree,heterophily_ratio,pos_rate,base_graph_path,graph_path,train_graph_ref,status,error
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,0,2,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,0.7638170784830542,0.4050835179684166,0.6583373806857041,0.6517694592475891,0.2329314150001664,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,0,2,camouflage_feature_oracle,0.15,sage,train_on_variant,0.7643022572472163,0.3966355038532528,0.6532017301443741,0.5664691925048828,3.6240966969999135,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,0,2,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,0.7732422637223009,0.4335516898721729,0.6683100231791297,0.7486404776573181,0.2743840140001339,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,0,2,camouflage_feature_oracle,0.15,secgfd,train_on_variant,0.7763808956044124,0.4383682131520702,0.6691184629177767,0.6379253268241882,5.168101781999894,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,0.7092383739077345,0.3028205186734912,0.6093115217471855,0.5020877122879028,0.1343487889998869,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,mlp,train_on_variant,0.7063194528077247,0.3001524184296779,0.6063042668763412,0.5052592158317566,0.5502946779997728,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,0.800903408146792,0.5135065638175909,0.6910681627951805,0.3479243814945221,0.5260107889998835,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,pmp,train_on_variant,0.8040133375687525,0.4968218872421744,0.6940907722738218,0.1851462870836258,58.41271823599982,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,0.7483540270528191,0.3864745457784314,0.6467199702487267,0.6433866620063782,0.219697800999711,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,ok,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,1,0,camouflage_feature_oracle,0.15,sage,train_on_variant,0.7551795316253949,0.3911112836046298,0.649604761491908,0.5981318354606628,3.624297802000001,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_1/graph.bin,ok,
