dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6434537196910413,0.009778375653322645,0.6349522145295404,0.6503515581138417,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6783581022714416,0.013241632018800442,0.668478471402457,0.6884963763431516,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.5658992456277577,0.015367060592315204,0.5537973276118112,0.5787595200003702,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.4801065541664656,0.016866095629435033,0.467437453864139,0.49465258215502406,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.7874991091518592,0.022067852245887656,0.7675594767377161,0.7977213104976402,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.7924381403626047,0.005388672840876128,0.7876042649616755,0.7958081617124713,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.788949594525943,0.004421764630874893,0.7846637634227472,0.7917913012442529,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.786603210092671,0.003809186614821242,0.7830899968734564,0.7889908364478083,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.8465935467722904,0.0053034952490293285,0.8422065007904251,0.8503677868931181,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.8288068775572581,0.004679199100966291,0.8244193480401723,0.8323502354756978,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.8148408356879673,0.006039190031681424,0.8103994289139391,0.8192857748594747,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.8029645568206764,0.013371933367305845,0.792540278245698,0.8129117892532464,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.8001608528741905,0.012088385837618744,0.7903132793730259,0.8100425620563861,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.7979198124245399,0.011953021420516996,0.7882241321042995,0.8080025936543409,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.41124348128035465,0.04204684441298214,0.3733650626072927,0.43209180460633795,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.41124348128035476,0.039642145082553835,0.3733650626072927,0.43209180460633795,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.41124348128035476,0.039642145082553835,0.3733650626072927,0.43209180460633795,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.4294401489071168,0.011108106651061444,0.4201066672355573,0.43704812868146553,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.4211751230041706,0.009969495028264634,0.41304442146073683,0.42878863288869634,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.41637717747647834,0.00960144906826484,0.4085064743578807,0.42382128756740073,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.5573005662067334,0.018706383216090285,0.5437668293058349,0.5709124866038947,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
