split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.8137552514783315,0.0034282278707491835,0.8099156614533154,0.8165092572937119,0.03185426062653205,0.003301775702279757,0.028604431126291203,0.03520563966898181,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.5126636681065734,0.008556735451811463,0.507707901356427,0.5225441188424271,0.042597653506750856,0.007075343488231925,0.034756447364306234,0.04850498759908108,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.7016763421068708,0.004220236732203347,0.6979098770834696,0.7062373916392919,0.015776839450955902,0.0036390498224303782,0.011785368835355603,0.018910030407882684,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.8317000914953443,0.0034696481641118475,0.8292831383122247,0.8356757347543965,0.013909420609519255,0.0026267330856933097,0.010917812017893927,0.015838162810072342,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.39821984499025387,0.027049927016352417,0.38179236868125566,0.42944014890711674,0.3881067495736841,0.02460577729600285,0.37151563334711923,0.41637717747647834,0.010113095416569828,0.0030350064231847848,0.006999579484934538,0.013062971430638526,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6490481483492816,0.01872261321720637,0.6375118690202062,0.6706504896075932,0.6440833395415758,0.016887629525791856,0.6328915514577429,0.6635085481223741,0.004964808807705708,0.0020269626948739446,0.00313216737543478,0.007141941485219083,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7649293071507189,0.023876909626646715,0.7495764898410918,0.7924381403626047,0.7589947400419375,0.023920178527182485,0.744480415680223,0.7866032100926711,0.00593456710878143,0.0008924924145790348,0.005096074160868702,0.006872696895541919,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.3992330266056244,0.027199513546312667,0.38337358882194267,0.43063980263938983,0.3740239735996973,0.005585180386365936,0.3677632352144851,0.37849471815099783,0.025209053005927084,0.023699084006546325,0.00755962138833377,0.052145084488392036,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6497380235622016,0.018267488849658873,0.6382223651484653,0.6708008636264987,0.6366411288337894,0.005372194737945935,0.6319778008590309,0.6425154620764464,0.013096894728412157,0.013174540003332388,0.004760718345749526,0.028285401550052335,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7651267213218675,0.023869605594869475,0.7494028649676207,0.7925929430916682,0.7490749534535817,0.004993183427544264,0.7437732025447578,0.7536880874833836,0.016051767868285848,0.020409733120611052,-0.00036070536498282734,0.03890485560828445,3,5,2,split_bootstrap_over_split_means
