split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.14094163694683268,0.0007731803410232508,0.14045142530132743,0.14183294494128013,0.4698054564894423,0.002577267803410901,0.4681714176710914,0.4727764831376005,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.2053167488175377,0.0008282945047884079,0.20471592250021686,0.2062616211207323,0.6843891627251257,0.0027609816826279637,0.6823864083340562,0.6875387370691075,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.24314079674432643,0.0006867533729653676,0.2424939330621471,0.24386147627614232,0.810469322481088,0.002289177909884597,0.8083131102071569,0.8128715875871414,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.19614978477138645,0.0012180005686728914,0.1950877531944566,0.19747929419319507,0.6538326159046215,0.0040600018955763,0.6502925106481886,0.6582643139773169,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.2347115860088631,0.0013322178954308034,0.23392294268387862,0.2362497327455578,0.7823719533628771,0.004440726318102633,0.7797431422795956,0.7874991091518592,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.19614978477138645,0.0012180005686728914,0.1950877531944566,0.19747929419319507,0.6538326159046215,0.0040600018955763,0.6502925106481886,0.6582643139773169,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.2347115860088631,0.0013322178954308034,0.23392294268387862,0.2362497327455578,0.7823719533628771,0.004440726318102633,0.7797431422795956,0.7874991091518592,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.15413376351806016,0.0005392919037801092,0.15352630115464252,0.15455614487994618,0.513779211726867,0.0017976396792669495,0.5117543371821418,0.5151871495998205,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20953378152355118,0.00046125670202326125,0.2091195632492783,0.2100308478318443,0.6984459384118374,0.0015375223400775442,0.6970652108309278,0.7001028261061477,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.24850364830301527,0.000646255714534915,0.24775994049563174,0.248928610318108,0.8283454943433842,0.0021541857151163805,0.8258664683187723,0.8297620343936934,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.1580022833112429,0.001438013086546495,0.15653563513830515,0.15940983954593133,0.526674277704143,0.004793376955155088,0.5217854504610171,0.5313661318197712,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.21216401888918857,0.0006650289165563226,0.2115887890981852,0.21289219760017306,0.7072133962972953,0.0022167630551876392,0.7052959636606174,0.7096406586672434,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.25094795665757014,0.0007797864563978212,0.25044429770725224,0.2518461704332075,0.8364931888585673,0.0025992881879926223,0.8348143256908408,0.8394872347773582,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.11781955152815127,0.007631276048891011,0.11292452446131847,0.12661256792939526,0.39273183842717074,0.025437586829636597,0.3764150815377281,0.42204189309798396,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.19385730001814053,0.005335687658259351,0.19042962439575986,0.20000485440318902,0.6461910000604686,0.017785625527531306,0.6347654146525328,0.66668284801063,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.22846895804519715,0.007197223114128993,0.22398228356129835,0.23677054046303705,0.7615631934839907,0.02399074371376341,0.7466076118709944,0.7892351348767906,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.11263518565177533,0.000717425157260002,0.11191709055160166,0.11335193898403444,0.3754506188392512,0.0023914171908667055,0.3730569685053389,0.3778397966134482,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.19128359514185692,0.001302598171225514,0.19013833358715945,0.19270064523102828,0.6376119838061897,0.004341993904084963,0.6337944452905314,0.6423354841034274,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.22467999680771478,0.0008385039890264958,0.2241838174386334,0.22564811667557202,0.7489333226923826,0.0027950132967548636,0.7472793914621114,0.7521603889185732,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.13417537705646912,0.0014300857856623785,0.1326854753197426,0.13553700447337955,0.44725125685489703,0.004766952618874694,0.44228491773247525,0.4517900149112653,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20230921102655472,0.0005538825613213441,0.2018030098145759,0.20290084692092525,0.6743640367551823,0.0018462752044044548,0.6726766993819199,0.676336156403084,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.23971398850005562,0.0004799505614439049,0.23917353778949227,0.24009045562451972,0.7990466283335188,0.0015998352048130853,0.7972451259649743,0.8003015187483994,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.1370089531494497,0.0012968783622154185,0.1355882436538443,0.1381292858030047,0.4566965104981657,0.0043229278740514274,0.451960812179481,0.4604309526766824,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.2037669170860614,0.0013402659744403463,0.2029831368383558,0.20531447986024495,0.6792230569535379,0.004467553248134503,0.6766104561278526,0.6843815995341499,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.24118396787644478,0.0013920872987296757,0.23989257988168586,0.24265860386970148,0.8039465595881493,0.004640290995765499,0.7996419329389527,0.8088620128990046,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19614978477138645,0.0012180005686728914,0.1950877531944566,0.19747929419319507,0.6538326159046215,0.0040600018955763,0.6502925106481886,0.6582643139773169,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2347115860088631,0.0013322178954308034,0.23392294268387862,0.2362497327455578,0.7823719533628771,0.004440726318102633,0.7797431422795956,0.7874991091518592,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
