split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6917224246446665,0.0013254771578504081,0.6905283053724617,0.6931486097651168,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8006077747921926,0.0027361183996980126,0.7989641353589919,0.8037662975188878,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.49326925793838505,0.006201628848210093,0.4862788508237476,0.49811014223409256,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6921956231101465,0.003502593553549191,0.6883411866247592,0.6951838084288848,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7999900188485046,0.002105736679678424,0.797604759453852,0.8015913418040445,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.3592082534876473,0.024081529137587886,0.34487774374267505,0.3870107904835487,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6304165239948484,0.016623318239072312,0.6205136187422405,0.6496082034432882,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7269022200157984,0.022312212425653396,0.7114735214207532,0.7524855723094289,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.34985432511575665,0.01451654094150423,0.3399898740456402,0.36652322031134155,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6252967069749872,0.010400211140891631,0.6181517575756518,0.6372284080345418,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7200279371406119,0.01424534098882795,0.7112532282526342,0.7364644866961596,3,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.4063940861716095,0.0013191655458484953,0.4049315562215064,0.40749406830945994,3,5,2,split_bootstrap_over_split_means,scenario
