split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,severity,model_id,metric,oracle_labels,claim_scope,left_claim_scope,right_claim_scope,operational_ranking_eligible,left_protocol,right_protocol,contrast_definition,left_mean,right_mean,contrast_mean,contrast_std,contrast_ci_lower,contrast_ci_upper,n_splits,min_pairs_per_split,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.15,secgfd,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.754491245836992,0.75737667993951,-0.0028854341025179846,0.0028194266890369155,-0.005837842200019515,-0.00022110898493239443,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,mlp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.31711153171297973,0.32150850593836605,-0.004396974225386376,0.0026039424198546902,-0.0060629021874966825,-0.001396285828102778,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,mlp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6110813415879255,0.6128614629177889,-0.0017801213298634596,0.002208803694518098,-0.003574202409185101,0.0006868773530393611,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,mlp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6951727499843744,0.6986191190842602,-0.003446369099885771,0.0015837886827445636,-0.004628549196159603,-0.0016468816599235273,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,pmp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.42705899633532823,0.4387356349433012,-0.011676638607972899,0.004725170924874992,-0.015465556933797356,-0.006382133311629877,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,pmp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.662812292558678,0.6658112868315171,-0.0029989942728391138,0.001972393492354143,-0.004700300554626058,-0.0008370426188887614,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,pmp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7611307679955771,0.7594849363772456,0.0016458316183315686,0.003286135367108052,-0.0005593061426790169,0.005422668855263023,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,sage,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.30093712089596514,0.3161064790996824,-0.015169358203717398,0.020981074922911132,-0.030095874769802283,0.008819783787091034,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,sage,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6004997217303187,0.6091406084028067,-0.008640886672487894,0.012110948637251073,-0.018609207261339477,0.004837360704876348,3,10,5,2,split_bootstrap_over_split_means,scenario
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.3,sage,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6730039888400388,0.687248351279874,-0.014244362439835206,0.0170315932274564,-0.027814516794440653,0.004868056338951421,3,10,5,2,split_bootstrap_over_split_means,scenario
