dataset_id,split_id,scenario_id,severity,model_id,metric,oracle_labels,claim_scope,left_claim_scope,right_claim_scope,operational_ranking_eligible,left_protocol,right_protocol,contrast_definition,left_mean,right_mean,contrast_mean,contrast_std,contrast_ci_lower,contrast_ci_upper,n_pairs,n_training_seeds,n_graph_seeds,ci_method,source
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,sage,average_precision,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.3463429224027387,0.4211751230041706,-0.074832200601432,0.09649708467791884,-0.15294525007962562,-3.7832304975687905e-05,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,sage,f1_macro,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6280128053553826,0.6662861771562764,-0.03827337180089393,0.04904289509937663,-0.08107162374282634,-0.0009847853743206291,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,roc_auc,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.8378398287913736,0.8288068775572581,0.009032951234115284,0.00938292055686106,0.001028179289333775,0.015476017558188115,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,average_precision,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.5228099211149619,0.5089888944892931,0.01382102662566898,0.0191120323376356,-0.004795315268142275,0.026498173613012745,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,f1_macro,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7071512412775167,0.6957886764619369,0.0113625648155799,0.007387354888835181,0.004806674770223707,0.017364016368612654,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,roc_auc,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.8102746256151139,0.8001608528741905,0.010113772740923432,0.008214094649760015,0.003864365845701645,0.01665984635870823,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,average_precision,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.4640054326593339,0.4410100070804708,0.02299542557886312,0.02072805934019671,0.004566899292563176,0.0388708109631624,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,f1_macro,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6861411608901429,0.6763267276857817,0.009814433204360984,0.01089359161593872,0.0014833375068939113,0.01760420696491663,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,roc_auc,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7874991091518593,0.7874991091518593,0.0,0.0,0.0,0.0,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,average_precision,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.41124348128035476,0.41124348128035476,0.0,0.0,0.0,0.0,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,mlp,f1_macro,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6582643139773169,0.6582643139773169,0.0,0.0,0.0,0.0,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,sage,roc_auc,False,non_oracle_controlled_stress,non_oracle_controlled_stress,non_oracle_controlled_stress,True,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7536880874833837,0.7866032100926712,-0.03291512260928751,0.06362283515789666,-0.09327582702149165,-0.0011777226796406692,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
