split_regime_id,train_size,val_size,test_size,dataset_id,model_id,protocol,metric,worst_scenario_id,worst_severity,oracle_labels,claim_scope,operational_ranking_eligible,worst_mean,worst_std,worst_ci_lower,worst_ci_upper,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,drop_from_clean_mean,drop_from_clean_std,drop_from_clean_ci_lower,drop_from_clean_ci_upper,retention_fraction_mean,retention_fraction_std,retention_fraction_ci_lower,retention_fraction_ci_upper,n_splits,min_runs_per_split,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,drop_ci_method,retention_ci_method,selection_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_on_variant,f1_macro,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.662812292558678,0.001279750220816777,0.6613420775315346,0.6636762855180998,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.05464088899914878,0.0015159207924268802,0.053143621973252696,0.05617479917594553,0.9238565085757559,0.0020722767614077156,0.9217294404723383,0.9258692617478147,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_on_variant,roc_auc,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.761130767995577,0.004637367196980213,0.7564727823026299,0.7657472379420133,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.08447874410928652,0.004704768957386008,0.07937406318028405,0.08864090611737323,0.9001081821026068,0.00554732918749182,0.8951129814201385,0.9060783663119137,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_clean_eval_all,average_precision,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.3161064790996825,0.01797604028803129,0.3055517010866472,0.33686241843426973,0.39821984499025387,0.027049927016352417,0.38179236868125566,0.42944014890711674,0.08211336589057143,0.009116769954373069,0.0758870509031251,0.09257773047284716,0.8024487455226957,0.015720806450136196,0.7844466793982127,0.8134716507074865,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_clean_eval_all,f1_macro,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6091406084028067,0.014428632184635878,0.6003219527274658,0.6257916236559989,0.6490481483492816,0.01872261321720637,0.6375118690202062,0.6706504896075932,0.039907539946474925,0.004460418875774938,0.03620362019525072,0.04485886595159444,0.9393902205775023,0.005746832337033664,0.9331185690355154,0.9444037769233908,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_clean_eval_all,roc_auc,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6872483512798739,0.018430981711054614,0.6742201386750429,0.7083364187485518,0.7649293071507189,0.023876909626646715,0.7495764898410918,0.7924381403626047,0.07768095587084488,0.005630655157942064,0.07358479483243288,0.08410172161405298,0.8996615711419843,0.005180233633870167,0.8938722038949866,0.9038590366585959,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_on_variant,average_precision,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.3009371208959651,0.017448969860560794,0.2813197174582062,0.3147251015652216,0.3992330266056244,0.027199513546312667,0.38337358882194267,0.43063980263938983,0.0982959057096593,0.027648546453771256,0.06896058679031905,0.12387325897492248,0.8064818429013877,0.10345333518702836,0.7111624559097928,0.9164973974607576,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_on_variant,f1_macro,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.6004997217303187,0.010689443451123442,0.5881711392664652,0.6071824163946593,0.6497380235622016,0.018267488849658873,0.6382223651484653,0.6708008636264987,0.04923830183188279,0.015953736876317764,0.03207675561863366,0.06361844723183938,0.9281713766258256,0.026103570889447435,0.9050417367561625,0.9564742141495227,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,sage,train_on_variant,roc_auc,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.6730039888400388,0.016179320192295475,0.6544335118110267,0.684056552754979,0.7651267213218675,0.023869605594869475,0.7494028649676207,0.7925929430916682,0.09212273248182862,0.02151333389635847,0.06932780315133481,0.11207104113755688,0.8853931359175875,0.03013443118852013,0.8585590173972335,0.9179943424218395,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,secgfd,train_clean_eval_all,average_precision,heterophily_rewire_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.13653620855754528,0.0049183738443103605,0.13138781348322387,0.14118668218218172,0.45212708842776705,0.0016750860267174402,0.45104574600768627,0.4540566214469175,0.3155908798702218,0.003767582160876231,0.31286993926473583,0.3198910843454736,0.30154194533108697,0.0099561417141264,0.2906627532973741,0.3101997929465551,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,secgfd,train_clean_eval_all,f1_macro,heterophily_rewire_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.4798815475533475,0.008133083825147656,0.4716382951100287,0.4878997933835481,0.6754057891957593,0.0025681276060250816,0.6736884583885713,0.6783581022714417,0.19552424164241192,0.008698721280928436,0.18578866500502303,0.20253251181723667,0.7103505668927408,0.012564385136102594,0.6993874760871529,0.7240614351011878,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,secgfd,train_clean_eval_all,roc_auc,heterophily_rewire_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.4736180412532877,0.013606286375739234,0.4614253191523014,0.4882954380667128,0.8011457561582537,0.0016285610614605228,0.7998226116504265,0.8029645568206764,0.32752771490496607,0.011988482115174648,0.3146691187539636,0.33839729249812506,0.5908544723840435,0.01588315043824387,0.5765632760869321,0.6079547553162555,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,secgfd,train_on_variant,average_precision,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.3699969781570891,0.01121520970570349,0.3576074094204828,0.37945594215182005,0.4497688826157887,0.00459049103713546,0.4456039405696373,0.45469081684098045,0.07977190445869957,0.00938018224377557,0.06955594828492824,0.08799653114915447,0.8224727861565612,0.021257937782607636,0.802264200866699,0.844643964448004,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
