dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.630764076877937,0.0,0.630764076877937,0.630764076877937,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7268125706803045,0.0,0.7268125706803045,0.7268125706803045,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.42965147665146547,0.0,0.42965147665146547,0.42965147665146547,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6674235015119795,0.0,0.6674235015119795,0.6674235015119795,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7696239295689425,0.0,0.7696239295689425,0.7696239295689425,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.4245539731786245,0.0,0.4245539731786245,0.4245539731786245,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6677599311717136,0.0,0.6677599311717136,0.6677599311717136,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7715303426052681,0.0,0.7715303426052681,0.7715303426052681,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.31697205988075333,0.0,0.31697205988075333,0.31697205988075333,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6125329397078096,0.0,0.6125329397078096,0.6125329397078096,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.6986283487315084,0.0,0.6986283487315084,0.6986283487315084,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.3213149900893049,0.0,0.3213149900893049,0.3213149900893049,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6165957513076381,0.0,0.6165957513076381,0.6165957513076381,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.6998875669454118,0.0,0.6998875669454118,0.6998875669454118,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.4471068248245944,0.0,0.4471068248245944,0.4471068248245944,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.665228898659338,0.0,0.665228898659338,0.665228898659338,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7631364609757063,0.0,0.7631364609757063,0.7631364609757063,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.41739097019771404,0.0,0.41739097019771404,0.41739097019771404,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6612018980252039,0.0,0.6612018980252039,0.6612018980252039,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.759798136590236,0.0,0.759798136590236,0.759798136590236,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.3351581222076212,0.0,0.3351581222076212,0.3351581222076212,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6249419543574873,0.0,0.6249419543574873,0.6249419543574873,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7072266609538053,0.0,0.7072266609538053,0.7072266609538053,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.31190344316894864,0.0,0.31190344316894864,0.31190344316894864,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6118221074520379,0.0,0.6118221074520379,0.6118221074520379,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.6874635859867588,0.0,0.6874635859867588,0.6874635859867588,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.3732428030586242,0.0,0.3732428030586242,0.3732428030586242,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6424996958312884,0.0,0.6424996958312884,0.6424996958312884,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7236584740079414,0.0,0.7236584740079414,0.7236584740079414,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.3936440073403322,0.0,0.3936440073403322,0.3936440073403322,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6512861378957135,0.0,0.6512861378957135,0.6512861378957135,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7479654779195428,0.0,0.7479654779195428,0.7479654779195428,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,1,split_bootstrap_over_split_means,clean
