dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.24390085599192082,0.0,0.24390085599192082,0.24390085599192082,0.8130028533064028,0.0,0.8130028533064028,0.8130028533064028,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.1568456845715919,0.0,0.1568456845715919,0.1568456845715919,0.5228189485719731,0.0,0.5228189485719731,0.5228189485719731,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.210081091221513,0.0,0.210081091221513,0.210081091221513,0.7002703040717102,0.0,0.7002703040717102,0.7002703040717102,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.24962057640304294,0.0,0.24962057640304294,0.24962057640304294,0.8320685880101432,0.0,0.8320685880101432,0.8320685880101432,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,False,non_oracle_controlled_stress,True,0.1600335451676375,0.0,0.1600335451676375,0.1600335451676375,0.5334451505587916,0.0,0.5334451505587916,0.5334451505587916,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,False,non_oracle_controlled_stress,True,0.2127802466797992,0.0,0.2127802466797992,0.2127802466797992,0.7092674889326641,0.0,0.7092674889326641,0.7092674889326641,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,False,non_oracle_controlled_stress,True,0.251734943130065,0.0,0.251734943130065,0.251734943130065,0.8391164771002168,0.0,0.8391164771002168,0.8391164771002168,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.12585669743151698,0.0,0.12585669743151698,0.12585669743151698,0.4195223247717233,0.0,0.4195223247717233,0.4195223247717233,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.1995584818975248,0.0,0.1995584818975248,0.1995584818975248,0.665194939658416,0.0,0.665194939658416,0.665194939658416,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.2362943818935925,0.0,0.2362943818935925,0.2362943818935925,0.7876479396453083,0.0,0.7876479396453083,0.7876479396453083,1,3,2,split_bootstrap_over_split_means
