dataset_id,split_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,claim_scope,operational_ranking_eligible,graph_view_mode,mean,std,ci_lower,ci_upper,n_graphs,n_graph_seeds,ci_method,source
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.00044101476669311523,0.0,0.00044101476669311523,0.00044101476669311523,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,realized_change,Realized change,nodes_changed,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,requested_change,Requested change,nodes_selected,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.8208797969339449,0.004362713573026136,0.8177948925820835,0.8239647012858062,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.813849299744419,0.004461187431521348,0.810694763859446,0.8170038356293919,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.007030497189525864,9.847385849521259e-05,0.0069608656564142946,0.007100128722637433,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.22732102870941162,0.0,0.22732102870941162,0.22732102870941162,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.00044101476669311523,0.0,0.00044101476669311523,0.00044101476669311523,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,realized_change,Realized change,nodes_changed,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_on_variant,requested_change,Requested change,nodes_selected,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,clean,0.0,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_clean_eval_all,realized_change,Realized change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_clean_eval_all,requested_change,Requested change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_on_variant,realized_change,Realized change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,clean,0.0,train_on_variant,requested_change,Requested change,none,False,non_oracle_controlled_stress,True,canonical,0.0,0.0,0.0,0.0,1,1,graph_seed_bootstrap,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22988020142713989,0.00044448052917165585,0.22956590623085724,0.23019449662342256,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.0030001808392830648,0.00044448052917165585,0.002685885643000402,0.0033144760355657277,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,realized_change,Realized change,edges_changed,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,requested_change,Requested change,edges_selected,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22988020142713989,0.00044448052917165585,0.22956590623085724,0.23019449662342256,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.0030001808392830648,0.00044448052917165585,0.002685885643000402,0.0033144760355657277,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,n_rewired_edges_actual,Rewired edges,edges,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,realized_change,Realized change,edges_changed,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.15,train_on_variant,requested_change,Requested change,edges_selected,False,non_oracle_controlled_stress,True,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.23198102976048235,0.00013384475922891809,0.2318863872236053,0.2320756722973594,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.005101009172625515,0.00013384475922891809,0.005006366635748466,0.005195651709502563,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,realized_change,Realized change,edges_changed,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_clean_eval_all,requested_change,Requested change,edges_selected,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.23198102976048235,0.00013384475922891809,0.2318863872236053,0.2320756722973594,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,non_oracle_controlled_stress,True,heterograph_aware_generation,0.005101009172625515,0.00013384475922891809,0.005006366635748466,0.005195651709502563,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,n_rewired_edges_actual,Rewired edges,edges,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,realized_change,Realized change,edges_changed,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,train_on_variant,requested_change,Requested change,edges_selected,False,non_oracle_controlled_stress,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.34292015448841606,4.22436543235882e-05,0.3428902837139818,0.3429500252628504,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.11604013390055926,4.22436543235882e-05,0.11601026312612495,0.11607000467499357,2,2,graph_seed_bootstrap,scenario
