dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.687730212869523,0.0,0.687730212869523,0.687730212869523,0.688491299272726,0.0,0.688491299272726,0.688491299272726,-0.0007610864032030854,0.0,-0.0007610864032030854,-0.0007610864032030854,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.8125170309203386,0.0,0.8125170309203386,0.8125170309203386,0.8135487732052443,0.0,0.8135487732052443,0.8135487732052443,-0.0010317422849057494,0.0,-0.0010317422849057494,-0.0010317422849057494,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.4894751373981389,0.0,0.4894751373981389,0.4894751373981389,0.078250126388846,0.0,0.078250126388846,0.078250126388846,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.6828177749769498,0.0,0.6828177749769498,0.6828177749769498,0.03684614896441799,0.0,0.03684614896441799,0.03684614896441799,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.8167873019554069,0.0,0.8167873019554069,0.8167873019554069,0.03240647491930596,0.0,0.03240647491930596,0.03240647491930596,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.5093941442417561,0.0,0.5093941442417561,0.5093941442417561,0.058331119545228766,0.0,0.058331119545228766,0.058331119545228766,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.7018451910927451,0.0,0.7018451910927451,0.7018451910927451,0.017818732848622804,0.0,0.017818732848622804,0.017818732848622804,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.8313938211598696,0.0,0.8313938211598696,0.8313938211598696,0.0177999557148432,0.0,0.0177999557148432,0.0177999557148432,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.42708999760200883,0.0,0.42708999760200883,0.42708999760200883,0.41335217392118656,0.0,0.41335217392118656,0.41335217392118656,0.013737823680822187,0.0,0.013737823680822187,0.013737823680822187,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6697122615898071,0.0,0.6697122615898071,0.6697122615898071,0.662695114740281,0.0,0.662695114740281,0.662695114740281,0.00701714684952609,0.0,0.00701714684952609,0.00701714684952609,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7909852512071072,0.0,0.7909852512071072,0.7909852512071072,0.7850275553939219,0.0,0.7850275553939219,0.7850275553939219,0.005957695813185245,0.0,0.005957695813185245,0.005957695813185245,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.42954172678053837,0.0,0.42954172678053837,0.42954172678053837,0.3469181594570588,0.0,0.3469181594570588,0.3469181594570588,0.0826235673234796,0.0,0.0826235673234796,0.0826235673234796,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6708279503970965,0.0,0.6708279503970965,0.6708279503970965,0.6248505117960184,0.0,0.6248505117960184,0.6248505117960184,0.04597743860107809,0.0,0.04597743860107809,0.04597743860107809,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7917030310560143,0.0,0.7917030310560143,0.7917030310560143,0.730661147790976,0.0,0.730661147790976,0.730661147790976,0.061041883265038156,0.0,0.061041883265038156,0.061041883265038156,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.47551589125343435,0.0,0.47551589125343435,0.47551589125343435,0.45857829625745555,0.0,0.45857829625745555,0.45857829625745555,0.016937594995978772,0.0,0.016937594995978772,0.016937594995978772,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6896884499828166,0.0,0.6896884499828166,0.6896884499828166,0.6840325402988744,0.0,0.6840325402988744,0.6840325402988744,0.00565590968394214,0.0,0.00565590968394214,0.00565590968394214,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8140815809826377,0.0,0.8140815809826377,0.8140815809826377,0.8075255202584902,0.0,0.8075255202584902,0.8075255202584902,0.006556060724147439,0.0,0.006556060724147439,0.006556060724147439,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,0.3,False,non_oracle_controlled_stress,True,0.4709483353668929,0.0,0.4709483353668929,0.4709483353668929,0.48415101272270133,0.0,0.48415101272270133,0.48415101272270133,-0.013202677355808407,0.0,-0.013202677355808407,-0.013202677355808407,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.687730212869523,0.0,0.687730212869523,0.687730212869523,0.696367879542732,0.0,0.696367879542732,0.696367879542732,-0.008637666673209273,0.0,-0.008637666673209273,-0.008637666673209273,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8125170309203386,0.0,0.8125170309203386,0.8125170309203386,0.8197554122438676,0.0,0.8197554122438676,0.8197554122438676,-0.00723838132352909,0.0,-0.00723838132352909,-0.00723838132352909,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
