dataset_id,split_id,scenario_id,severity,model_id,metric,oracle_labels,claim_scope,left_claim_scope,right_claim_scope,operational_ranking_eligible,left_protocol,right_protocol,contrast_definition,left_mean,right_mean,contrast_mean,contrast_std,contrast_ci_lower,contrast_ci_upper,n_pairs,n_training_seeds,n_graph_seeds,ci_method,source
yelpchi,s0,heterophily_rewire_oracle,0.3,mlp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,mlp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,mlp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,sage,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.8976080822697781,0.7683475375178869,0.1292605447518913,0.009671486999915054,0.12002210017973225,0.1392771574817523,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,sage,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6518823777305488,0.38381625236041056,0.26806612537013813,0.026955172418861358,0.23956017501533797,0.2984983689288778,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,sage,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7681224288749106,0.6492862676027499,0.11883616127216058,0.008987567115946272,0.1117287072001939,0.12971269484735348,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,pmp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.8876986234061918,0.7634662296143456,0.12423239379184607,0.02038325513645733,0.10114615950126227,0.14647951582832308,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,pmp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6018050284232713,0.3859081744555028,0.21589685396776856,0.04940821754402849,0.15080824201799076,0.26107318046351785,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,pmp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7495746020256308,0.6415382934075567,0.108036308618074,0.016900787382108134,0.08797326083439645,0.12683518227024662,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,secgfd,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.9999999086920356,0.523695677239589,0.47630423145244644,0.03498584976081753,0.4493527106936838,0.5211293100852775,6,3,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
