dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs,n_paired_seed_cells,n_paired_training_seeds,n_graph_seeds,ci_method
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.47551589125343435,0.000568780563377165,0.4751036963121557,0.4761648011302502,0.45857829625745555,0.007515425121127371,0.4525401078877554,0.46740142811769286,0.016937594995978772,0.00703340532083304,0.008763373012557418,0.022739068430141673,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6697122615898071,0.005042605823552887,0.6649585800899492,0.6750011046817957,0.662695114740281,0.003094518281672226,0.6594384047730407,0.6662392186239235,0.00701714684952609,0.0015539766501199714,0.0055201753169085155,0.008761886057872204,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.6828177749769498,0.00873407772819326,0.675715844032324,0.6934761950536409,0.03684614896441799,0.009341545202637037,0.02541913724838163,0.04377949711538254,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,0.3,False,non_oracle_controlled_stress,True,0.6896884499828166,0.004092481610386039,0.6872482798545348,0.6944131866758828,0.6840325402988744,0.005174617821603756,0.6792442701425884,0.6899761818380133,0.00565590968394214,0.0020635300092291375,0.003922267650825188,0.0081596132754439,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.6986283487315084,0.01897921222813504,0.6800729942863764,0.716034104144054,0.08264231465785332,0.009702730909066676,0.07258432949528641,0.09339398627642881,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7909852512071072,0.006877698660101521,0.7833396105573985,0.7966684137453198,0.7072266609538053,0.0077360524650430815,0.6980467566966372,0.7160582809050942,0.08375859025330194,0.0060371080508350855,0.07734893391043773,0.08981996229028706,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.7631364609757063,0.005610867064866792,0.7574942838038282,0.7685096845832265,0.08605731589900645,0.006643588082660192,0.0785767163801216,0.09410194853419433,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8140815809826377,0.0037577717102356746,0.8097653582219472,0.8166250675520142,0.7236584740079414,0.005900263061886166,0.7171558423377279,0.7303789228124707,0.09042310697469626,0.005394007582790105,0.08508429852997672,0.09612555137306855,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.31697205988075333,0.03519479217801002,0.2760175284015598,0.34607892884802166,0.08240773228872281,0.015638499833698697,0.06767388603012131,0.09833226608608758,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.42708999760200883,0.013371437924881189,0.4117790575340485,0.4364707756825262,0.3351581222076212,0.011650605268629138,0.3221320020701485,0.3476513998518341,0.09193187539438763,0.008023606838164712,0.08269788102708198,0.10063302726843348,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.4471068248245944,0.011605336250698652,0.4343474305967725,0.4597248168832067,0.1206184389623904,0.007224655056486494,0.11198634179432328,0.1284897289951138,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.47551589125343435,0.000568780563377165,0.4751036963121557,0.4761648011302502,0.3732428030586242,0.004645007695119153,0.3684636661072469,0.3779717309599602,0.10227308819481018,0.004714925325638451,0.09739567577346515,0.10737667348540454,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6125329397078096,0.01603133498227491,0.5923934691941981,0.6256295867851785,0.04065139121871301,0.005789363040980054,0.03420077338677341,0.04696381220281117,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
