

=== attempt 1; GPU 0; 2026-07-13T15:08:08.769712+00:00 ===
[preflight] 21 variants x 5 seeds x 1 models = 105 runs total
[preflight] 0 already done, 105 remaining
[preflight] no estimate available
[preflight] 21 variants x 5 seeds x 1 models = 105 runs total
[preflight] 0 already done, 105 remaining
[preflight] no estimate available
[shift] [67/105] secgfd / heterophily_rewire_oracle / sev=0.3 / gs=0 / ts=3  ok  auc=0.406  0.2s
[shift] [68/105] secgfd / heterophily_rewire_oracle / sev=0.3 / gs=1 / ts=3  ok  auc=0.406  0.2s
[shift] [69/105] secgfd / heterophily_rewire_nonoracle / sev=0.15 / gs=0 / ts=3  ok  auc=0.797  0.2s
[shift] [70/105] secgfd / heterophily_rewire_nonoracle / sev=0.15 / gs=1 / ts=3  ok  auc=0.797  0.2s
[shift] [70/105] ETA ~6s
[shift] [71/105] secgfd / heterophily_rewire_nonoracle / sev=0.3 / gs=0 / ts=3  ok  auc=0.793  0.2s
[shift] [72/105] secgfd / heterophily_rewire_nonoracle / sev=0.3 / gs=1 / ts=3  ok  auc=0.794  0.2s
[shift] [73/105] secgfd / camouflage_feature_oracle / sev=0.15 / gs=0 / ts=3  ok  auc=0.765  0.2s
[shift] [74/105] secgfd / camouflage_feature_oracle / sev=0.15 / gs=1 / ts=3  ok  auc=0.752  0.2s
[shift] [75/105] secgfd / camouflage_feature_oracle / sev=0.3 / gs=0 / ts=3  ok  auc=0.717  0.2s
[shift] [76/105] secgfd / camouflage_feature_oracle / sev=0.3 / gs=1 / ts=3  ok  auc=0.701  0.2s
[shift] [77/105] secgfd / camouflage_relation_oracle / sev=0.15 / gs=0 / ts=3  ok  auc=0.801  0.2s
[shift] [78/105] secgfd / camouflage_relation_oracle / sev=0.15 / gs=1 / ts=3  ok  auc=0.801  0.2s
[shift] [79/105] secgfd / camouflage_relation_oracle / sev=0.3 / gs=0 / ts=3  ok  auc=0.804  0.2s
[shift] [80/105] secgfd / camouflage_relation_oracle / sev=0.3 / gs=1 / ts=3  ok  auc=0.805  0.2s
[shift] [80/105] ETA ~4s
[shift] [81/105] secgfd / noise_edges_uniform / sev=0.1 / gs=0 / ts=3  ok  auc=0.799  0.2s
[shift] [82/105] secgfd / noise_edges_uniform / sev=0.1 / gs=1 / ts=3  ok  auc=0.799  0.2s
[shift] [83/105] secgfd / noise_edges_uniform / sev=0.2 / gs=0 / ts=3  ok  auc=0.798  0.2s
[shift] [84/105] secgfd / noise_edges_uniform / sev=0.2 / gs=1 / ts=3  ok  auc=0.798  0.2s
[shift] [85/105] secgfd / clean / sev=0 / gs=717 / ts=4  ok  auc=0.795  4.5s
[shift] [86/105] secgfd / heterophily_rewire_oracle / sev=0.15 / gs=0 / ts=4  ok  auc=0.656  0.2s
[shift] [87/105] secgfd / heterophily_rewire_oracle / sev=0.15 / gs=1 / ts=4  ok  auc=0.656  0.1s
[shift] [88/105] secgfd / heterophily_rewire_oracle / sev=0.3 / gs=0 / ts=4  ok  auc=0.491  0.2s
[shift] [89/105] secgfd / heterophily_rewire_oracle / sev=0.3 / gs=1 / ts=4  ok  auc=0.491  0.1s
[shift] [90/105] secgfd / heterophily_rewire_nonoracle / sev=0.15 / gs=0 / ts=4  ok  auc=0.794  0.2s
[shift] [90/105] ETA ~3s
[shift] [91/105] secgfd / heterophily_rewire_nonoracle / sev=0.15 / gs=1 / ts=4  ok  auc=0.794  0.2s
[shift] [92/105] secgfd / heterophily_rewire_nonoracle / sev=0.3 / gs=0 / ts=4  ok  auc=0.793  0.2s
