dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,0.3,False,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,0.6850423181099307,0.0038064941152754273,0.6824473208014892,0.6877593953596488,0.004040474697215912,0.002110651720965981,-0.0003860467327088001,0.007981969273300814,3,6
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.6986283487315084,0.01897921222813504,0.6837482033768513,0.7120735854538377,0.08264231465785343,0.015322045193528476,0.053225145384511174,0.11095784142953902,3,6
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,0.708126709364494,0.00811821768949481,0.7024386170894272,0.7138197296892024,0.08399111789468428,0.0048301092585987995,0.07386832323213155,0.09247994501942539,3,6
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.7631364609757063,0.005610867064866792,0.7594034565241335,0.766720340267149,0.08605731589900667,0.0026990739518658164,0.08068124541832507,0.09130987206150332,3,6
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,0.7237373362999052,0.006308289146988603,0.7193974290472008,0.7280855466225136,0.08997001303528385,0.0027691050797522287,0.0844189365489204,0.09530526721823654,3,6
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.31697205988075333,0.03519479217801002,0.29179460321857237,0.34129630273609596,0.08240773228872283,0.02893399895231522,0.027859466403405277,0.13653728789694924,3,6
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,0.3,True,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,0.3372433239302628,0.012909335920081914,0.3274618943736453,0.34647236582157165,0.09269044966764478,0.009147020977405655,0.07340094402324099,0.10858000221096493,3,6
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.4471068248245944,0.011605336250698652,0.4383343180678046,0.45458678928248497,0.12061843896239044,0.007632099746217074,0.10456357466641136,0.1340084363885435,3,6
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,0.3714411216818621,0.005325794809639609,0.36782283379019315,0.37513722416305995,0.10213651504241594,0.0023800247729540256,0.09757083785308984,0.1068104211128422,3,6
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6125329397078096,0.01603133498227491,0.6013188632554879,0.6233641680325241,0.04065139121871297,0.012634942523827044,0.01655838042520059,0.06450036340383491,3,6
