dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,mean,std,ci_lower,ci_upper,n_runs,source
yelpchi,s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,average_precision,False,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,average_precision,False,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,average_precision,False,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,average_precision,False,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,average_precision,False,0.4214267145984709,0.013283238089326136,0.412276127503907,0.43045590111156734,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,average_precision,False,0.4156625493841625,0.012648558036088166,0.40695325165483004,0.424265764875293,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,average_precision,False,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,average_precision,False,0.5170376965513844,0.007693273268099481,0.511755950382694,0.5229898426002483,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,average_precision,False,0.4894751373981389,0.00725939669077056,0.48380906711793176,0.4949352137898453,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,average_precision,False,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,average_precision,False,0.46465817705437223,0.005672900422996285,0.4606578782859811,0.46869256346428695,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,average_precision,False,0.45824431763254553,0.007212445951791104,0.45305481108169016,0.46335901381708816,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,f1_macro,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,f1_macro,False,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,f1_macro,False,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,f1_macro,False,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,f1_macro,False,0.6646402576173182,0.0037283550684167185,0.661787393776752,0.6672821645256591,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,f1_macro,False,0.663215791960856,0.0031623638571279043,0.6607424919198973,0.6655553030859356,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,f1_macro,False,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,3,clean
