dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity
yelpchi,s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,True,0.20676125909046672,0.00022927841724458507,0.20631512136135916,0.2071921605246277,0.6892041969682224,0.0007642613908152829,0.6877170712045306,0.6906405350820923,3
yelpchi,s0,noise_edges_uniform,mlp,train_clean_eval_all,roc_auc,False,0.15625413267787236,0.001293344789023444,0.15376167862610446,0.1587401922939381,0.7812706633893618,0.0064667239451172195,0.7688083931305223,0.7937009614696905,3
yelpchi,s0,noise_edges_uniform,sage,train_clean_eval_all,roc_auc,False,0.15805329577606497,0.00032635823390296504,0.15745008120136383,0.15865494996712595,0.7902664788803249,0.0016317911695148248,0.7872504060068192,0.7932747498356297,3
yelpchi,s0,noise_edges_uniform,pmp,train_clean_eval_all,roc_auc,False,0.16804163648342957,0.00014780117906793176,0.16773555042628435,0.16831134351962207,0.8402081824171478,0.0007390058953396594,0.8386777521314217,0.8415567175981103,3
yelpchi,s0,noise_edges_uniform,secgfd,train_clean_eval_all,roc_auc,False,0.16238476021798054,0.0001542648921877877,0.16208865395759844,0.16266267939821652,0.8119238010899027,0.0007713244609389401,0.8104432697879922,0.8133133969910826,3
yelpchi,s0,noise_edges_uniform,mlp,train_clean_eval_all,average_precision,False,0.07987595843389524,0.002456823210482282,0.07514115609976249,0.08459172429983328,0.39937979216947617,0.01228411605241141,0.3757057804988124,0.42295862149916635,3
yelpchi,s0,noise_edges_uniform,sage,train_clean_eval_all,average_precision,False,0.08500006822433923,0.0007021368057424079,0.08367027510535101,0.08627731757645334,0.4250003411216961,0.0035106840287120393,0.418351375526755,0.43138658788226664,3
yelpchi,s0,noise_edges_uniform,pmp,train_clean_eval_all,average_precision,False,0.10763815734472366,0.0005931745163580827,0.10638536622045293,0.10875314481074666,0.5381907867236183,0.002965872581790412,0.5319268311022646,0.5437657240537332,3
yelpchi,s0,noise_edges_uniform,secgfd,train_clean_eval_all,average_precision,False,0.09367328724719315,0.0002248982293836652,0.09324869710929645,0.09409428750109171,0.46836643623596574,0.0011244911469183254,0.46624348554648226,0.47047143750545856,3
yelpchi,s0,noise_edges_uniform,mlp,train_clean_eval_all,f1_macro,False,0.13063686618530454,0.001058998014354407,0.12859581979803075,0.13267585034689955,0.6531843309265226,0.005294990071772035,0.6429790989901537,0.6633792517344977,3
yelpchi,s0,noise_edges_uniform,sage,train_clean_eval_all,f1_macro,False,0.1335260100981458,0.00024665847870847067,0.13305378641589327,0.13402443906592895,0.667630050490729,0.0012332923935423539,0.6652689320794662,0.6701221953296447,3
yelpchi,s0,noise_edges_uniform,pmp,train_clean_eval_all,f1_macro,False,0.14164391315883623,0.00013020752451314054,0.14139330652024562,0.14189691437184457,0.7082195657941811,0.0006510376225657006,0.706966532601228,0.7094845718592228,3
yelpchi,s0,noise_edges_uniform,secgfd,train_clean_eval_all,f1_macro,False,0.13766655959017174,0.00016445703522452313,0.13735785142683735,0.137960626964893,0.6883327979508587,0.0008222851761226155,0.6867892571341867,0.689803134824465,3
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,roc_auc,True,0.23438119901680854,0.001940017183535165,0.23064251793915666,0.23811028844090715,0.7812706633893618,0.006466723945117217,0.7688083931305222,0.7937009614696905,3
