dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.00044101476669311523,0.0,0.00044101476669311523,0.00044101476669311523,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,realized_change,Realized change,nodes_changed,True,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,requested_change,Requested change,nodes_selected,True,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,heterograph_aware_generation,0.8208797969339449,0.0,0.8208797969339449,0.8208797969339449,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,heterograph_aware_generation,0.813849299744419,0.0,0.813849299744419,0.813849299744419,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,heterograph_aware_generation,0.007030497189525864,0.0,0.007030497189525864,0.007030497189525864,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.22732102870941162,0.0,0.22732102870941162,0.22732102870941162,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.00044101476669311523,0.0,0.00044101476669311523,0.00044101476669311523,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,realized_change,Realized change,nodes_changed,True,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_on_variant,requested_change,Requested change,nodes_selected,True,heterograph_aware_generation,2003.0,0.0,2003.0,2003.0,1,scenario
yelpchi,clean,0.0,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,clean
yelpchi,clean,0.0,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,clean
yelpchi,clean,0.0,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,clean,0.0,train_clean_eval_all,realized_change,Realized change,none,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,clean,0.0,train_clean_eval_all,requested_change,Requested change,none,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,canonical,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,clean
yelpchi,clean,0.0,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,clean,0.0,train_on_variant,realized_change,Realized change,none,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,clean,0.0,train_on_variant,requested_change,Requested change,none,False,canonical,0.0,0.0,0.0,0.0,1,clean
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,heterograph_aware_generation,0.22988020142713989,0.0,0.22988020142713989,0.22988020142713989,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,heterograph_aware_generation,0.0030001808392830648,0.0,0.0030001808392830648,0.0030001808392830648,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,False,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,train_clean_eval_all,realized_change,Realized change,edges_changed,False,heterograph_aware_generation,1207702.0,0.0,1207702.0,1207702.0,1,scenario
