dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits
yelpchi,heterophily_rewire_oracle,secgfd,train_clean_eval_all,f1_macro,True,0.17799439249611565,0.0,0.17799439249611565,0.17799439249611565,0.5933146416537188,0.0,0.5933146416537188,0.5933146416537188,1
yelpchi,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,True,0.20434542428834096,0.0,0.20434542428834096,0.20434542428834096,0.6811514142944699,0.0,0.6811514142944699,0.6811514142944699,1
yelpchi,heterophily_rewire_oracle,secgfd,train_on_variant,average_precision,True,0.25880820728660875,0.0,0.25880820728660875,0.25880820728660875,0.8626940242886959,0.0,0.8626940242886959,0.8626940242886959,1
yelpchi,heterophily_rewire_oracle,secgfd,train_on_variant,f1_macro,True,0.27374447626607495,0.0,0.27374447626607495,0.27374447626607495,0.9124815875535832,0.0,0.9124815875535832,0.9124815875535832,1
yelpchi,heterophily_rewire_oracle,secgfd,train_on_variant,roc_auc,True,0.28542862830776206,0.0,0.28542862830776206,0.28542862830776206,0.9514287610258736,0.0,0.9514287610258736,0.9514287610258736,1
yelpchi,noise_edges_uniform,mlp,train_clean_eval_all,average_precision,False,0.07987595843389524,0.0,0.07987595843389524,0.07987595843389524,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,noise_edges_uniform,mlp,train_clean_eval_all,f1_macro,False,0.13063686618530454,0.0,0.13063686618530454,0.13063686618530454,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,noise_edges_uniform,mlp,train_clean_eval_all,roc_auc,False,0.15625413267787236,0.0,0.15625413267787236,0.15625413267787236,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
yelpchi,noise_edges_uniform,mlp,train_on_variant,average_precision,False,0.07987595843389524,0.0,0.07987595843389524,0.07987595843389524,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,noise_edges_uniform,mlp,train_on_variant,f1_macro,False,0.13063686618530454,0.0,0.13063686618530454,0.13063686618530454,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,noise_edges_uniform,mlp,train_on_variant,roc_auc,False,0.15625413267787236,0.0,0.15625413267787236,0.15625413267787236,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
yelpchi,noise_edges_uniform,pmp,train_clean_eval_all,average_precision,False,0.10763815734472366,0.0,0.10763815734472366,0.10763815734472366,0.5381907867236183,0.0,0.5381907867236183,0.5381907867236183,1
yelpchi,noise_edges_uniform,pmp,train_clean_eval_all,f1_macro,False,0.14164391315883623,0.0,0.14164391315883623,0.14164391315883623,0.7082195657941811,0.0,0.7082195657941811,0.7082195657941811,1
yelpchi,noise_edges_uniform,pmp,train_clean_eval_all,roc_auc,False,0.16804163648342957,0.0,0.16804163648342957,0.16804163648342957,0.8402081824171478,0.0,0.8402081824171478,0.8402081824171478,1
yelpchi,noise_edges_uniform,pmp,train_on_variant,average_precision,False,0.10815393101095566,0.0,0.10815393101095566,0.10815393101095566,0.5407696550547783,0.0,0.5407696550547783,0.5407696550547783,1
yelpchi,noise_edges_uniform,pmp,train_on_variant,f1_macro,False,0.142337286536691,0.0,0.142337286536691,0.142337286536691,0.711686432683455,0.0,0.711686432683455,0.711686432683455,1
yelpchi,noise_edges_uniform,pmp,train_on_variant,roc_auc,False,0.16848285214988812,0.0,0.16848285214988812,0.16848285214988812,0.8424142607494406,0.0,0.8424142607494406,0.8424142607494406,1
yelpchi,noise_edges_uniform,sage,train_clean_eval_all,average_precision,False,0.08500006822433923,0.0,0.08500006822433923,0.08500006822433923,0.4250003411216961,0.0,0.4250003411216961,0.4250003411216961,1
yelpchi,noise_edges_uniform,sage,train_clean_eval_all,f1_macro,False,0.1335260100981458,0.0,0.1335260100981458,0.1335260100981458,0.667630050490729,0.0,0.667630050490729,0.667630050490729,1
yelpchi,noise_edges_uniform,sage,train_clean_eval_all,roc_auc,False,0.15805329577606497,0.0,0.15805329577606497,0.15805329577606497,0.7902664788803249,0.0,0.7902664788803249,0.7902664788803249,1
yelpchi,noise_edges_uniform,sage,train_on_variant,average_precision,False,0.0657936259269914,0.0,0.0657936259269914,0.0657936259269914,0.328968129634957,0.0,0.328968129634957,0.328968129634957,1
yelpchi,noise_edges_uniform,sage,train_on_variant,f1_macro,False,0.12360263549576207,0.0,0.12360263549576207,0.12360263549576207,0.6180131774788103,0.0,0.6180131774788103,0.6180131774788103,1
yelpchi,noise_edges_uniform,sage,train_on_variant,roc_auc,False,0.14378399206948245,0.0,0.14378399206948245,0.14378399206948245,0.7189199603474122,0.0,0.7189199603474122,0.7189199603474122,1
yelpchi,noise_edges_uniform,secgfd,train_clean_eval_all,average_precision,False,0.09367328724719315,0.0,0.09367328724719315,0.09367328724719315,0.46836643623596574,0.0,0.46836643623596574,0.46836643623596574,1
yelpchi,noise_edges_uniform,secgfd,train_clean_eval_all,f1_macro,False,0.13766655959017174,0.0,0.13766655959017174,0.13766655959017174,0.6883327979508587,0.0,0.6883327979508587,0.6883327979508587,1
yelpchi,noise_edges_uniform,secgfd,train_clean_eval_all,roc_auc,False,0.16238476021798054,0.0,0.16238476021798054,0.16238476021798054,0.8119238010899027,0.0,0.8119238010899027,0.8119238010899027,1
yelpchi,noise_edges_uniform,secgfd,train_on_variant,average_precision,False,0.09479157957262518,0.0,0.09479157957262518,0.09479157957262518,0.4739578978631259,0.0,0.4739578978631259,0.4739578978631259,1
yelpchi,noise_edges_uniform,secgfd,train_on_variant,f1_macro,False,0.13833467876319094,0.0,0.13833467876319094,0.13833467876319094,0.6916733938159547,0.0,0.6916733938159547,0.6916733938159547,1
yelpchi,noise_edges_uniform,secgfd,train_on_variant,roc_auc,False,0.16308051539487217,0.0,0.16308051539487217,0.16308051539487217,0.8154025769743608,0.0,0.8154025769743608,0.8154025769743608,1
