dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,average_precision,True,0.41739097019771404,0.0,0.41739097019771404,0.41739097019771404,1,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,f1_macro,True,0.6612018980252039,0.0,0.6612018980252039,0.6612018980252039,1,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_on_variant,roc_auc,True,0.759798136590236,0.0,0.759798136590236,0.759798136590236,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,average_precision,True,0.3372433239302628,0.0,0.3372433239302628,0.3372433239302628,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,0.625476264240637,0.0,0.625476264240637,0.625476264240637,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,0.708126709364494,0.0,0.708126709364494,0.708126709364494,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,average_precision,True,0.31183070912842636,0.0,0.31183070912842636,0.31183070912842636,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,f1_macro,True,0.611339253752072,0.0,0.611339253752072,0.611339253752072,1,scenario
yelpchi,camouflage_feature_oracle,0.3,sage,train_on_variant,roc_auc,True,0.6873711068983469,0.0,0.6873711068983469,0.6873711068983469,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,0.3714411216818621,0.0,0.3714411216818621,0.3714411216818621,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,0.6412680832203002,0.0,0.6412680832203002,0.6412680832203002,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,0.7237373362999052,0.0,0.7237373362999052,0.7237373362999052,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,average_precision,True,0.3948521883897093,0.0,0.3948521883897093,0.3948521883897093,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,f1_macro,True,0.6507056679446243,0.0,0.6507056679446243,0.6507056679446243,1,scenario
yelpchi,camouflage_feature_oracle,0.3,secgfd,train_on_variant,roc_auc,True,0.7487853777869414,0.0,0.7487853777869414,0.7487853777869414,1,scenario
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_on_variant,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_on_variant,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,clean
yelpchi,camouflage_relation_oracle,0.0,mlp,train_on_variant,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_clean_eval_all,average_precision,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_clean_eval_all,f1_macro,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_on_variant,average_precision,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_on_variant,f1_macro,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,1,clean
yelpchi,camouflage_relation_oracle,0.0,pmp,train_on_variant,roc_auc,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_clean_eval_all,average_precision,True,0.4299337735979076,0.0,0.4299337735979076,0.4299337735979076,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_clean_eval_all,f1_macro,True,0.6708474707363034,0.0,0.6708474707363034,0.6708474707363034,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_clean_eval_all,roc_auc,True,0.7921178272591782,0.0,0.7921178272591782,0.7921178272591782,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_on_variant,average_precision,True,0.42933223790816294,0.0,0.42933223790816294,0.42933223790816294,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_on_variant,f1_macro,True,0.6708518031464994,0.0,0.6708518031464994,0.6708518031464994,1,clean
yelpchi,camouflage_relation_oracle,0.0,sage,train_on_variant,roc_auc,True,0.7920125055070611,0.0,0.7920125055070611,0.7920125055070611,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_clean_eval_all,average_precision,True,0.47357763672427805,0.0,0.47357763672427805,0.47357763672427805,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_clean_eval_all,f1_macro,True,0.6890827928071466,0.0,0.6890827928071466,0.6890827928071466,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_clean_eval_all,roc_auc,True,0.8137073493351891,0.0,0.8137073493351891,0.8137073493351891,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_on_variant,average_precision,True,0.4704254705348501,0.0,0.4704254705348501,0.4704254705348501,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_on_variant,f1_macro,True,0.6869626295963105,0.0,0.6869626295963105,0.6869626295963105,1,clean
yelpchi,camouflage_relation_oracle,0.0,secgfd,train_on_variant,roc_auc,True,0.812236381996699,0.0,0.812236381996699,0.812236381996699,1,clean
yelpchi,camouflage_relation_oracle,0.15,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,camouflage_relation_oracle,0.15,mlp,train_clean_eval_all,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,camouflage_relation_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,camouflage_relation_oracle,0.15,mlp,train_on_variant,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,camouflage_relation_oracle,0.15,mlp,train_on_variant,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,camouflage_relation_oracle,0.15,mlp,train_on_variant,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,average_precision,True,0.5652118779477563,0.0,0.5652118779477563,0.5652118779477563,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,0.7179520192831625,0.0,0.7179520192831625,0.7179520192831625,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,0.8491436150579443,0.0,0.8491436150579443,0.8491436150579443,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,average_precision,True,0.5552203226155087,0.0,0.5552203226155087,0.5552203226155087,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,f1_macro,True,0.7190103950597648,0.0,0.7190103950597648,0.7190103950597648,1,scenario
yelpchi,camouflage_relation_oracle,0.15,pmp,train_on_variant,roc_auc,True,0.8463191123481145,0.0,0.8463191123481145,0.8463191123481145,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,average_precision,True,0.42978188794388,0.0,0.42978188794388,0.42978188794388,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,0.6708128033538044,0.0,0.6708128033538044,0.6708128033538044,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,0.7920190002822766,0.0,0.7920190002822766,0.7920190002822766,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_on_variant,average_precision,True,0.32916504236752075,0.0,0.32916504236752075,0.32916504236752075,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_on_variant,f1_macro,True,0.6211580516238032,0.0,0.6211580516238032,0.6211580516238032,1,scenario
yelpchi,camouflage_relation_oracle,0.15,sage,train_on_variant,roc_auc,True,0.7248276903582092,0.0,0.7248276903582092,0.7248276903582092,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,0.4737960672472732,0.0,0.4737960672472732,0.4737960672472732,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_clean_eval_all,f1_macro,True,0.6891787451616556,0.0,0.6891787451616556,0.6891787451616556,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,0.813816353180223,0.0,0.813816353180223,0.813816353180223,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_on_variant,average_precision,True,0.46697792853571557,0.0,0.46697792853571557,0.46697792853571557,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_on_variant,f1_macro,True,0.6869411254894603,0.0,0.6869411254894603,0.6869411254894603,1,scenario
yelpchi,camouflage_relation_oracle,0.15,secgfd,train_on_variant,roc_auc,True,0.8112010489268409,0.0,0.8112010489268409,0.8112010489268409,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_on_variant,average_precision,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_on_variant,f1_macro,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,camouflage_relation_oracle,0.3,mlp,train_on_variant,roc_auc,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,0.5684362323347804,0.0,0.5684362323347804,0.5684362323347804,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,0.7191034909928123,0.0,0.7191034909928123,0.7191034909928123,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,0.8499097881280463,0.0,0.8499097881280463,0.8499097881280463,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_on_variant,average_precision,True,0.5490791677585565,0.0,0.5490791677585565,0.5490791677585565,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_on_variant,f1_macro,True,0.7175585036410933,0.0,0.7175585036410933,0.7175585036410933,1,scenario
yelpchi,camouflage_relation_oracle,0.3,pmp,train_on_variant,roc_auc,True,0.84603770914129,0.0,0.84603770914129,0.84603770914129,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_clean_eval_all,average_precision,True,0.4296649755734044,0.0,0.4296649755734044,0.4296649755734044,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,0.6706427288023318,0.0,0.6706427288023318,0.6706427288023318,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,0.7918919472346041,0.0,0.7918919472346041,0.7918919472346041,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_on_variant,average_precision,True,0.3902424029238354,0.0,0.3902424029238354,0.3902424029238354,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_on_variant,f1_macro,True,0.6503314733666037,0.0,0.6503314733666037,0.6503314733666037,1,scenario
yelpchi,camouflage_relation_oracle,0.3,sage,train_on_variant,roc_auc,True,0.762328935322456,0.0,0.762328935322456,0.762328935322456,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,0.47405218594736026,0.0,0.47405218594736026,0.47405218594736026,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,0.689376504742432,0.0,0.689376504742432,0.689376504742432,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,0.8139618583765512,0.0,0.8139618583765512,0.8139618583765512,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_on_variant,average_precision,True,0.4706734283806564,0.0,0.4706734283806564,0.4706734283806564,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_on_variant,f1_macro,True,0.6891746459376599,0.0,0.6891746459376599,0.6891746459376599,1,scenario
yelpchi,camouflage_relation_oracle,0.3,secgfd,train_on_variant,roc_auc,True,0.8129185418146649,0.0,0.8129185418146649,0.8129185418146649,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,average_precision,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,f1_macro,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,roc_auc,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_on_variant,average_precision,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_on_variant,f1_macro,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,mlp,train_on_variant,roc_auc,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,average_precision,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,f1_macro,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,roc_auc,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_on_variant,average_precision,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_on_variant,f1_macro,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,pmp,train_on_variant,roc_auc,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,average_precision,False,0.4299337735979076,0.0,0.4299337735979076,0.4299337735979076,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,f1_macro,False,0.6708474707363034,0.0,0.6708474707363034,0.6708474707363034,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,roc_auc,False,0.7921178272591782,0.0,0.7921178272591782,0.7921178272591782,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_on_variant,average_precision,False,0.42933223790816294,0.0,0.42933223790816294,0.42933223790816294,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_on_variant,f1_macro,False,0.6708518031464994,0.0,0.6708518031464994,0.6708518031464994,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,sage,train_on_variant,roc_auc,False,0.7920125055070611,0.0,0.7920125055070611,0.7920125055070611,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,average_precision,False,0.47357763672427805,0.0,0.47357763672427805,0.47357763672427805,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,f1_macro,False,0.6890827928071466,0.0,0.6890827928071466,0.6890827928071466,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,roc_auc,False,0.8137073493351891,0.0,0.8137073493351891,0.8137073493351891,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_on_variant,average_precision,False,0.4704254705348501,0.0,0.4704254705348501,0.4704254705348501,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_on_variant,f1_macro,False,0.6869626295963105,0.0,0.6869626295963105,0.6869626295963105,1,clean
yelpchi,heterophily_rewire_nonoracle,0.0,secgfd,train_on_variant,roc_auc,False,0.812236381996699,0.0,0.812236381996699,0.812236381996699,1,clean
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,average_precision,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,f1_macro,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,roc_auc,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_on_variant,average_precision,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_on_variant,f1_macro,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,mlp,train_on_variant,roc_auc,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,scenario
yelpchi,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,average_precision,False,0.5170376965513844,0.0,0.5170376965513844,0.5170376965513844,1,scenario
